Date,Units,NAV,Amount
30-10-2025,190.152,52.59,10000.0
05-11-2025,576.218,52.06,30000.0
11-12-2025,397.76,50.279,20000.0
02-01-2026,580.702,51.659,30000.0
02-02-2026,621.28,48.286,30000.0
05-03-2026,417.952,47.85,20000.0
